email,fecha,satisfeccion_general,conocia_empresa,recomendacion,recomendacion_abierta
email10@gmail.com,2023-06-13 13:36:18,7,No,7,
email11@gmail.com,2023-07-04 11:32:10,1,No,1,"Por la pesima experiencia, en la creacion de el condominio, minimo deberiamos tener estacionamiento de visitas"
email12@gmail.com,2023-08-23 14:37:21,4,No,1,"El trato no fue le correcto, partiendo por la persona que me atendió para venderme el departamento, además de los problemas del departamento, con fallas y detalles. Además de  los nulos estacionamientos de visitas y precios elevados de los estacionamientos."
email13@gmail.com,2023-05-31 16:05:20,2,No,1,"Se equivocan en las propuestas entregadas a los bancos, asumimos un aumento del valor, siendo que ellos se equivocaron, ademas la administracion del condominio deja mucho que decear malos administradores, cobros injustificados, cobros que no deberiamos de asumir nosotros los propietarios y se incluyeron en los gastos comunes, se estan agregando modificaciones en el condominio que deberia haber sido asumido por la inmobiliaria al momento de la entrega ( una multicancha, unos vordes que van en las escaleras, topes de estacionamientos, siendo que no todos los propietaros tenemos estacionamientos."
email14@gmail.com,2023-06-07 08:01:49,6,No,7,Lo único malo es la calidad de las ventanas. No aíslan lo suficientemente el frío y el ruido.  Adicionalmente muy mala la elección de administrador.
email15@gmail.com,2023-05-31 19:34:39,3,No,1,Muy mala la atención y servicio de garantía 
email16@gmail.com,2023-08-22 17:51:45,1,No,1,"Por muchas razones y la más importante que a los 2 meses que me entregaron me llovi en la pieza y no han respondido, dan solo soluciones parches."
email17@gmail.com,2023-07-04 13:37:14,3,No,1,"Puff millones, partiendo porque tienen un nivel de irresponsabilidad tremenda, tuve que firmar 2 veces mi escritura! Ninguna inmobiliaria seria se atrevería a cometer semejante error, lo mismo mi estacionamiento, esta pagado y aún no puedo firmar escritura porque se equivocó no se quién, no sé como no se preocupan de verificar que estás cosas no pasen.Tendré que ir a firmar de nuevo y ni siquiera me avisan, tuve que yo para variar y preguntar que pasaba por la demora."
email18@gmail.com,2023-06-01 07:06:06,4,Sí,4,Calidad general
email19@gmail.com,2023-08-22 19:42:02,7,No,6,
email1@gmail.com,2023-08-23 05:17:54,1,No,2,"muchas demora, información errada con respecto a los montos del subsidio y nula culpa de parte de la empresa, solo nos dieron la opción de pedir la devolución del dinero, cuando la dif eran ceca de 80 USD de diferencia. Ojla ganarme la gifcard y asi compensar el mal rato "
email20@gmail.com,2023-06-01 09:31:14,2,No,4,
email21@gmail.com,2023-07-03 05:13:21,1,No,1,Pésima gestión en todas las etapas de adquisición de inmueble. Pésimo trato y servicio de post venta. Pésima calidad de producto entregado. Pésima comunicación con el cliente en relación de resolución de problemas. De verdad tiene cara de mandarme que los evalué ? Jajaja 
email22@gmail.com,2023-05-31 20:09:44,6,No,6,Ninguna razón si la recomiendo..
email23@gmail.com,2023-07-05 12:41:54,5,No,3,"Proyecto presenta deficiencias. Si bien proceso de compra fue expedito, hay detalles del proyecto que se evidencias de mala calidad."
email24@gmail.com,2023-05-31 22:26:31,4,No,4,
email25@gmail.com,2023-05-31 14:56:43,7,Sí,7,ninguna tuve una espectacular compra me asesoraron y apoyaron en todo muy agradecido 
email26@gmail.com,2023-06-14 05:50:54,5,No,5,"La recomendaría, pero podrían mejorar el servicio de post venta. Es lento, poco amable."
email27@gmail.com,2023-06-21 06:27:50,7,No,7,
email28@gmail.com,2023-06-21 12:47:39,4,No,7,"Mala calidad de los departamentos, materiales y terminaciones pésimas."
email29@gmail.com,2023-07-25 14:04:43,6,No,6,
email2@gmail.com,2023-05-31 18:28:35,6,No,6,
email30@gmail.com,2023-06-13 19:54:06,5,No,7,
email31@gmail.com,2023-08-23 11:53:12,2,No,4,"La gestión del personal de venta fue lenta y de muy mala calidad, citándome a firmar en varias ocasiones los mismos documentos por olvido de ellos el no haber firmado alguno y entregando información falsa con respecto al modo de pago del estacionamiento ya que yo pregunte si podía pagarlo con un pie y el resto en cuotas y se me dijo que si y posteriormente se me informa que no SE PUEDE PAGAR DE ESA MANERA ASI COMO UN SINFIN DE FALTA DE GESTION DEL PERSONAL DE VENTA"
email32@gmail.com,2023-06-28 05:53:05,5,No,4,La pos venta es muy mala no ayudan ni dan soluciones rápidamente son demasiado malos los ejecutivos a cargo.   
email33@gmail.com,2023-05-31 15:03:55,3,No,1,"Pésima atención de pos venta, departamento defectuoso "
email34@gmail.com,2023-06-01 06:43:51,4,No,4,"compre departamento con subsidio ds19, hicieron algunas cosas muy mal, como no calcular correctamente el monto del subsidio, muchas familias se quedaron sin departamento por este motivo, sin mencionar que los que si pudimos comprar tuvimos que hacer un sacrificio enorme, no estacionamientos de visita en el condominio, lo cual me parece fatal. Hay errores básicos de construcción como dejar del lado incorrecto la apertura de los ventanales y un par de cosas mas."
email35@gmail.com,2023-06-06 19:30:24,7,No,7,
email36@gmail.com,2023-06-04 04:31:26,7,No,6,
email37@gmail.com,2023-06-01 10:30:51,6,No,6,
email38@gmail.com,2023-06-20 13:26:09,7,No,7,
email39@gmail.com,2023-05-31 15:18:14,5,No,6,
email3@gmail.com,2023-07-31 19:11:07,4,No,3,"Poca transparencia al vender, se me vendió como Proyecto marla Central dando a entender que la entrada es por marla, pero la realidad es que debemos dar toda una vuelta para entrar al condominio, se me dijo también que era la última unidad disponible sin darme la opción de escoger, cuando llegué, me di cuenta que a todos nos dijeron lo mismo, dan mucho espacio a la venta de estacionamiento y poco juegos para niños y areas verdes, los estacionamientos costosos, la administración de primeras instancias pocas soluciones y muchos problemas, los departamentos defectuosos y no s todo le dan solucion, en fin, no muy grata la experiencia de hecho podría contunuar se me debería incluso indemnizar por todo los malos ratos que he pasado"
email40@gmail.com,2023-06-01 20:07:48,7,Sí,7,
email41@gmail.com,2023-07-04 21:26:47,2,No,1,"Por no responder a fallas que han tenido los dptos, por no haber respetado en monto de subsidio, por no dar claridad de la entrega total del terreno del proyecto. Por no entregar las instalaciones pulcras."
email42@gmail.com,2023-06-06 13:43:03,2,No,3,"Claro que sí, el servicio de post-venta fue muy arbitrario al ser solicitado para reparaciones, en este caso subí la información al portal con evidencias, sin embargo, la persona que visitó mi departamento fue quien finalmente juzgó a su criterio si la reparación procede o no sin tener ningún parámetro más allá que su juicio personal sobre el caso. Por lo demás, en el proceso de compra se nos entregó falsa información sobre la disponibilidad de departamento limitando mi opción de compra a un único departamento, la vendedora me contaba que estaba todo 100% vendido y que el departamento que ella me ofrecía era el último disponible y no tenía otra alternativa... Con el tiempo me da la impresión que eso no era del todo cierto... Hasta la fecha aún hay departamentos disponibles de 1b 1d. Tampoco me dieron la opción de cambiar o algo... Por eso fue mala la experiencia."
email43@gmail.com,2023-06-22 10:10:51,5,Sí,5,Ninguno
email44@gmail.com,2023-05-31 17:03:09,3,No,3,"Gestión administrativa, coordinación, tiempo de respuesta a requerimientos, posventa, todo pésimo.  Hubieron malas gestiones mala información "
email45@gmail.com,2023-05-31 17:29:40,7,No,7,
email46@gmail.com,2023-06-02 07:34:12,3,No,1,"La atencion al cliente cuando resien compre fue pesima el chico que me entrego las llaves no ne atendia el telefono jamas ante mis consultas se demoran demaciado en las correcciones de post venta algunos ticket fueron cerrados sin haberles dado solucion, la chica rubia teñida que era como jefa de obra  o de entrega o algo asi era super pesada y agresiva para hablar todos los vecinos a los que le pregunte tuvieron el mismo drama con ella los gastos comunes siguen subiendo excesivamente y no tenemos ascensor nisiquiera estacionamiento de visita como para justificar algo llevan meses arreglando el jardin y aun no esta listo los plasticos esos para cerrar el paso se ven horribles pero como no se avanza con el arreglo no se puede sacar"
email47@gmail.com,2023-06-05 12:02:46,7,No,7,Lo encuentro que es un buen proyecto 
email48@gmail.com,2023-05-31 15:05:16,1,No,1,"Por publicidad engañosa ya que el proyecto se llama marla siendo que en ningún momento tiene salida por av marla ya sea peatonal o por vehículo, cuando compre el departamento me dijeron que el strip iba a tener estos accesos pero después se fue desmintiendo. Los estacionamientos son demasiado caros, prácticamente es el pie para una casa y por otro lado hay algunas terminaciones malas, al primer día se me salió una chapa y la semana me fallo un enchufe. Si a futuro tengo la posibilidad de comprarme otro inmueble, no dudare en no elegirlos."
email49@gmail.com,2023-06-01 09:35:55,6,No,6,Las terminaciones de los departamentos no son las mejores.
email4@gmail.com,2023-08-22 17:59:34,5,No,6,
email50@gmail.com,2023-08-01 21:59:46,2,No,1,"Malos materiales, malas terminaciones, las cosas están mal instaladas. Etc "
email51@gmail.com,2023-08-22 16:40:04,5,No,6,El servicio de post venta es muy lento
email52@gmail.com,2023-06-01 08:04:30,6,No,6,"todo el proceso de obtención de credito, no fue lo suficientemente acompañado"
email53@gmail.com,2023-06-02 13:23:14,5,No,4,"La respuesta de Post Venta es muy lenta. Con respuesta no me refiero a que respondan un mensaje, sino que una vez resulto qué hacer, toman mucho tiempo para ejecutar."
email54@gmail.com,2023-05-31 16:17:45,5,Sí,5,Postventa deficiente y materiales de construcción de baja calidad. 
email55@gmail.com,2023-05-31 16:00:54,6,No,6,
email56@gmail.com,2023-07-19 08:46:51,6,Sí,6,
email57@gmail.com,2023-08-23 12:14:39,6,No,7,se requiere mejorar el servicio post venta en la atención de las incidencias reportadas
email58@gmail.com,2023-06-14 11:24:54,5,No,5,
email59@gmail.com,2023-05-31 18:29:54,5,Sí,7,"No tengo fundamento para No recordarla , ya que cumple todo lo que ellos muestran , son super transparentes "
email5@gmail.com,2023-08-22 15:41:34,7,No,7,
email60@gmail.com,2023-05-31 15:00:04,5,Sí,5,Seria por el motivo que post venta demora mucho en responder y realizar las respectivas reparaciones
email61@gmail.com,2023-06-13 17:03:17,7,No,7,
email6@gmail.com,2023-05-31 15:51:26,7,Sí,7,
email7@gmail.com,2023-06-06 13:40:33,3,No,2,"Porque hubo demasiadas falencias en el proceso de compra, errores por parte de la inmobiliaria, falta a la verdad (nos vendieron un proyecto que tenía salida a marla y finalmente no fue así) Ni siquiera tiene estacionamientos de visita. "
email8@gmail.com,2023-06-20 21:06:59,4,No,1,Mala atención al cliente 
email9@gmail.com,2023-07-19 13:31:13,4,No,1,"El servicio post venta es muy engorroso. Nadie se hace responsable y solo derivan. Estuve mas de seis meses tratando de que me reembolsaran los primeros gastos de servicio de luz, agua y gas. Enviaba correos y no respondían. Cuando tuve un problema con el calefont. No dieron solución siendo que aun estaba vigente la garantía. Tuve que ver por mis propios medios alguna solucion."
